Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A
0.000	0.025	0.709	-2.617	0.012
0.005	0.061	0.776	-2.625	0.004
0.009	0.092	0.855	-2.625	0.004
0.014	0.122	0.928	-2.625	0.012
0.018	0.165	0.995	-2.609	0.012
0.023	0.195	1.062	-2.601	0.012
0.027	0.238	1.141	-2.592	0.012
0.032	0.262	1.202	-2.617	0.012
0.036	0.299	1.281	-2.609	0.020
0.041	0.329	1.348	-2.609	0.004
0.045	0.372	1.421	-2.601	0.004
0.050	0.402	1.495	-2.601	0.004
0.055	0.421	1.562	-2.601	0.012
0.059	0.469	1.629	-2.592	0.004
0.064	0.494	1.695	-2.592	0.012
0.068	0.524	1.756	-2.592	0.012
0.073	0.555	1.836	-2.592	-0.004
0.077	0.591	1.896	-2.576	0.012
0.082	0.628	1.957	-2.592	0.004
0.086	0.652	2.030	-2.592	0.004
0.091	0.688	2.109	-2.576	0.004
0.096	0.713	2.170	-2.576	0.004
0.100	0.762	2.250	-2.576	0.012
0.105	0.780	2.329	-2.568	0.004
0.109	0.829	2.383	-2.576	0.012
0.114	0.847	2.463	-2.576	0.012
0.118	0.883	2.542	-2.551	0.012
0.123	0.926	2.597	-2.560	0.012
0.127	0.962	2.682	-2.560	0.012
0.132	1.011	2.749	-2.551	0.012
0.136	1.023	2.816	-2.551	-0.004
0.141	1.060	2.889	-2.551	0.012
0.146	1.102	2.962	-2.551	0.020
0.150	1.139	3.035	-2.551	0.004
0.155	1.163	3.108	-2.543	0.004
0.159	1.200	3.181	-2.543	0.004
0.164	1.224	3.248	-2.535	0.004
0.168	1.273	3.315	-2.535	0.004
0.173	1.303	3.388	-2.535	0.012
0.177	1.334	3.455	-2.535	0.012
0.182	1.364	3.534	-2.519	0.004
0.187	1.407	3.595	-2.511	0.004
0.191	1.437	3.668	-2.527	-0.004
0.196	1.474	3.741	-2.519	0.004
0.200	1.516	3.808	-2.511	0.004
0.205	1.541	3.887	-2.494	0.004
0.209	1.577	3.954	-2.511	-0.004
0.214	1.608	4.021	-2.511	-0.004
0.218	1.638	4.094	-2.494	0.004
0.223	1.669	4.155	-2.486	0.004
0.227	1.711	4.234	-2.494	0.012
0.232	1.742	4.295	-2.486	0.004
0.237	1.772	4.374	-2.486	0.012
0.241	1.803	4.435	-2.478	0.004
0.246	1.839	4.508	-2.470	0.004
0.250	1.870	4.575	-2.470	0.004
0.255	1.900	4.654	-2.470	0.012
0.259	1.937	4.715	-2.461	0.012
0.264	1.967	4.794	-2.470	0.004
0.268	2.010	4.861	-2.453	-0.004
0.273	2.034	4.928	-2.461	0.012
0.278	2.077	4.995	-2.461	0.012
0.282	2.119	5.074	-2.445	0.004
0.287	2.131	5.141	-2.445	0.004
0.291	2.174	5.215	-2.445	0.012
0.296	2.211	5.288	-2.437	0.012
0.300	2.241	5.361	-2.429	-0.004
0.305	2.271	5.428	-2.420	0.004
0.309	2.314	5.507	-2.429	0.004
0.314	2.344	5.574	-2.429	0.004
0.318	2.375	5.641	-2.412	0.012
0.323	2.418	5.714	-2.396	0.012
0.328	2.460	5.787	-2.404	0.004
0.332	2.491	5.860	-2.404	-0.004
0.337	2.515	5.921	-2.388	0.004
0.341	2.545	5.994	-2.396	-0.004
0.346	2.582	6.067	-2.379	0.012
0.350	2.612	6.140	-2.396	-0.004
0.355	2.655	6.219	-2.379	0.004
0.359	2.692	6.286	-2.388	0.004
0.364	2.722	6.353	-2.371	0.012
0.369	2.752	6.432	-2.371	0.012
0.373	2.795	6.499	-2.355	0.004
0.378	2.832	6.584	-2.355	0.004
0.382	2.862	6.651	-2.363	0.012
0.387	2.892	6.730	-2.347	0.004
0.391	2.929	6.804	-2.339	-0.004
0.396	2.959	6.864	-2.322	0.020
0.400	2.996	6.931	-2.330	0.012
0.405	3.039	7.004	-2.330	-0.004
0.409	3.057	7.084	-2.322	-0.004
0.414	3.093	7.157	-2.314	0.004
0.419	3.136	7.218	-2.314	0.012
0.423	3.160	7.285	-2.314	0.004
0.428	3.197	7.370	-2.306	0.012
0.432	3.227	7.431	-2.298	0.004
0.437	3.276	7.498	-2.289	0.004
0.441	3.306	7.565	-2.298	0.012
0.446	3.337	7.644	-2.281	0.020
0.450	3.367	7.711	-2.273	0.004
0.455	3.386	7.778	-2.273	0.004
0.460	3.428	7.839	-2.265	0.020
0.464	3.459	7.918	-2.273	0.004
0.469	3.495	7.973	-2.257	0.004
0.473	3.532	8.052	-2.257	0.004
0.478	3.562	8.119	-2.257	0.012
0.482	3.587	8.186	-2.232	0.004
0.487	3.629	8.253	-2.232	0.012
0.491	3.660	8.326	-2.232	0.004
0.496	3.702	8.393	-2.240	0.004
0.500	3.733	8.466	-2.224	0.004
0.505	3.757	8.533	-2.216	0.004
0.510	3.794	8.600	-2.207	0.004
0.514	3.824	8.673	-2.207	0.004
0.519	3.860	8.746	-2.207	0.004
0.523	3.885	8.807	-2.191	0.004
0.528	3.921	8.874	-2.183	0.004
0.532	3.946	8.941	-2.175	-0.004
0.537	3.976	9.001	-2.175	0.012
0.541	4.001	9.062	-2.158	0.004
0.546	4.037	9.117	-2.175	0.012
0.551	4.067	9.178	-2.158	0.004
0.555	4.092	9.233	-2.158	0.020
0.560	4.122	9.294	-2.158	0.004
0.564	4.147	9.348	-2.150	0.004
0.569	4.171	9.409	-2.142	0.012
0.573	4.195	9.464	-2.126	0.004
0.578	4.238	9.537	-2.134	0.004
0.582	4.250	9.604	-2.117	-0.004
0.587	4.299	9.659	-2.109	0.004
0.591	4.329	9.732	-2.101	0.004
0.596	4.354	9.799	-2.117	0.004
0.601	4.396	9.872	-2.109	0.004
0.605	4.427	9.945	-2.101	0.004
0.610	4.463	10.018	-2.093	0.004
0.614	4.506	10.091	-2.093	0.012
0.619	4.536	10.170	-2.076	0.020
0.623	4.567	10.237	-2.068	0.020
0.628	4.609	10.316	-2.068	0.004
0.632	4.634	10.371	-2.060	0.004
0.637	4.664	10.438	-2.060	0.004
0.642	4.701	10.517	-2.052	0.004
0.646	4.719	10.572	-2.044	0.012
0.651	4.762	10.621	-2.044	-0.004
0.655	4.780	10.694	-2.027	0.004
0.660	4.816	10.743	-2.027	0.004
0.664	4.841	10.804	-2.027	0.012
0.669	4.871	10.864	-2.019	0.004
0.673	4.895	10.925	-2.011	0.004
0.678	4.920	10.980	-1.994	-0.004
0.682	4.956	11.029	-1.986	-0.004
0.687	4.969	11.090	-1.994	-0.004
0.692	5.005	11.157	-1.978	-0.004
0.696	5.036	11.218	-1.978	0.004
0.701	5.072	11.285	-1.970	0.012
0.705	5.090	11.345	-1.978	0.012
0.710	5.127	11.406	-1.962	0.004
0.714	5.157	11.467	-1.945	0.004
0.719	5.182	11.522	-1.937	0.012
0.723	5.212	11.577	-1.945	0.004
0.728	5.236	11.650	-1.929	0.012
0.733	5.267	11.699	-1.937	-0.004
0.737	5.291	11.753	-1.929	0.012
0.742	5.322	11.808	-1.913	0.004
0.746	5.340	11.875	-1.929	0.012
0.751	5.376	11.930	-1.904	-0.004
0.755	5.407	11.985	-1.888	0.004
0.760	5.425	12.046	-1.880	0.012
0.764	5.456	12.094	-1.896	-0.004
0.769	5.480	12.149	-1.872	0.004
0.773	5.504	12.210	-1.880	0.004
0.778	5.529	12.265	-1.863	-0.004
0.783	5.559	12.326	-1.880	0.012
0.787	5.583	12.374	-1.855	0.012
0.792	5.608	12.429	-1.855	0.004
0.796	5.632	12.478	-1.855	0.004
0.801	5.650	12.533	-1.831	0.004
0.805	5.687	12.581	-1.847	0.004
0.810	5.705	12.642	-1.806	0.012
0.814	5.730	12.679	-1.814	0.004
0.819	5.754	12.727	-1.814	0.004
0.824	5.778	12.794	-1.798	0.004
0.828	5.803	12.837	-1.806	0.004
0.833	5.821	12.886	-1.798	0.012
0.837	5.851	12.934	-1.790	0.012
0.842	5.876	12.989	-1.773	-0.012
0.846	5.894	13.032	-1.773	0.004
0.851	5.918	13.074	-1.773	0.012
0.855	5.949	13.135	-1.765	0.012
0.860	5.967	13.184	-1.749	0.004
0.864	5.985	13.239	-1.741	0.012
0.869	6.010	13.281	-1.732	0.012
0.874	6.040	13.336	-1.749	-0.004
0.878	6.071	13.397	-1.732	0.004
0.883	6.095	13.440	-1.732	0.012
0.887	6.113	13.488	-1.716	0.004
0.892	6.125	13.543	-1.708	0.004
0.896	6.162	13.586	-1.708	0.004
0.901	6.186	13.647	-1.700	0.012
0.905	6.204	13.683	-1.691	0.004
0.910	6.229	13.732	-1.683	-0.004
0.915	6.259	13.781	-1.675	0.012
0.919	6.278	13.836	-1.675	0.012
0.924	6.296	13.884	-1.667	0.004
0.928	6.320	13.921	-1.667	0.004
0.933	6.338	13.969	-1.659	0.012
0.937	6.369	14.012	-1.650	0.004
0.942	6.387	14.067	-1.642	0.004
0.946	6.424	14.122	-1.634	0.012
0.951	6.436	14.170	-1.642	-0.004
0.955	6.472	14.225	-1.626	0.004
0.960	6.485	14.274	-1.626	0.012
0.965	6.509	14.329	-1.610	0.012
0.969	6.545	14.377	-1.593	0.012
0.974	6.552	14.426	-1.601	0.004
0.978	6.582	14.481	-1.593	0.004
0.983	6.600	14.524	-1.593	0.012
0.987	6.631	14.578	-1.577	0.004
0.992	6.655	14.627	-1.577	-0.004
0.996	6.685	14.676	-1.569	0.004
1.001	6.704	14.731	-1.552	0.004
1.006	6.728	14.779	-1.560	0.012
1.010	6.759	14.840	-1.544	0.020
1.015	6.777	14.877	-1.536	0.004
1.019	6.801	14.931	-1.544	0.012
1.024	6.813	14.980	-1.528	0.012
1.028	6.850	15.029	-1.528	0.004
1.033	6.874	15.078	-1.519	0.004
1.037	6.892	15.132	-1.519	0.004
1.042	6.911	15.169	-1.503	0.012
1.046	6.935	15.230	-1.495	0.012
1.051	6.959	15.278	-1.495	0.012
1.056	6.984	15.321	-1.487	-0.004
1.060	7.014	15.376	-1.478	0.004
1.065	7.032	15.437	-1.462	0.012
1.069	7.063	15.473	-1.470	0.004
1.074	7.081	15.528	-1.462	0.012
1.078	7.106	15.583	-1.446	0.004
1.083	7.136	15.625	-1.454	0.012
1.087	7.154	15.692	-1.429	0.004
1.092	7.185	15.741	-1.429	0.012
1.097	7.209	15.784	-1.429	0.004
1.101	7.233	15.839	-1.421	0.004
1.106	7.258	15.893	-1.413	0.004
1.110	7.282	15.948	-1.413	-0.004
1.115	7.306	15.991	-1.397	-0.004
1.119	7.331	16.039	-1.405	-0.004
1.124	7.355	16.088	-1.397	0.004
1.128	7.361	16.155	-1.388	0.004
1.133	7.398	16.192	-1.380	0.012
1.137	7.422	16.240	-1.372	0.004
1.142	7.440	16.295	-1.372	0.004
1.147	7.465	16.350	-1.347	0.004
1.151	7.495	16.405	-1.356	0.012
1.156	7.520	16.453	-1.347	-0.004
1.160	7.550	16.502	-1.331	0.004
1.165	7.574	16.557	-1.339	0.012
1.169	7.593	16.618	-1.323	0.004
1.174	7.617	16.679	-1.323	0.012
1.178	7.653	16.715	-1.315	0.012
1.183	7.672	16.776	-1.306	0.004
1.188	7.702	16.837	-1.298	-0.004
1.192	7.727	16.886	-1.298	0.004
1.197	7.751	16.941	-1.290	0.004
1.201	7.775	16.989	-1.282	0.012
1.206	7.806	17.062	-1.282	0.004
1.210	7.824	17.111	-1.265	-0.004
1.215	7.854	17.154	-1.274	0.012
1.219	7.873	17.208	-1.249	0.004
1.224	7.897	17.263	-1.249	-0.004
1.228	7.927	17.318	-1.249	0.004
1.233	7.952	17.361	-1.233	0.004
1.238	7.970	17.415	-1.225	0.004
1.242	8.001	17.470	-1.233	0.004
1.247	8.013	17.525	-1.225	0.004
1.251	8.043	17.568	-1.200	0.012
1.256	8.067	17.622	-1.208	0.004
1.260	8.092	17.671	-1.200	0.004
1.265	8.122	17.732	-1.200	0.012
1.269	8.141	17.781	-1.192	0.012
1.274	8.171	17.836	-1.175	0.004
1.279	8.195	17.890	-1.175	0.012
1.283	8.226	17.939	-1.167	0.020
1.288	8.256	18.012	-1.159	0.004
1.292	8.274	18.055	-1.159	0.004
1.297	8.311	18.110	-1.159	0.004
1.301	8.329	18.170	-1.143	0.004
1.306	8.360	18.231	-1.143	-0.004
1.310	8.384	18.280	-1.126	0.004
1.315	8.408	18.341	-1.143	0.004
1.319	8.433	18.396	-1.118	0.012
1.324	8.463	18.450	-1.126	0.004
1.329	8.488	18.493	-1.110	0.012
1.333	8.524	18.560	-1.093	-0.004
1.338	8.536	18.609	-1.093	0.004
1.342	8.567	18.670	-1.093	0.004
1.347	8.585	18.718	-1.085	0.004
1.351	8.615	18.767	-1.077	0.004
1.356	8.640	18.828	-1.069	-0.004
1.360	8.664	18.877	-1.061	0.012
1.365	8.682	18.931	-1.053	0.004
1.370	8.713	18.980	-1.053	0.004
1.374	8.725	19.023	-1.053	-0.004
1.379	8.762	19.084	-1.036	0.004
