Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A
0.000	0.005	-0.006	-0.033	0.016
0.063	-0.001	-0.006	-0.025	0.016
0.125	-0.001	0.000	-0.025	0.016
0.188	0.012	-0.006	-0.025	0.008
0.250	-0.007	0.000	-0.033	0.008
0.313	-0.001	0.000	-0.025	-0.000
0.375	-0.007	-0.006	-0.025	0.016
0.438	-0.007	-0.006	-0.025	0.008
0.500	-0.007	0.006	-0.025	0.008
0.563	-0.007	-0.006	-0.025	0.008
0.625	-0.001	0.000	-0.033	0.008
0.688	-0.001	0.000	-0.033	-0.008
0.751	-0.013	0.000	-0.025	0.008
0.813	-0.007	-0.006	-0.033	0.008
0.876	0.005	-0.006	-0.033	0.016
0.938	0.005	0.006	-0.033	-0.000
1.001	-0.001	-0.006	-0.025	0.025
1.063	-0.001	0.000	-0.033	-0.000
1.126	-0.001	0.000	-0.025	0.016
1.188	-0.007	0.006	-0.033	0.016
1.251	-0.001	0.000	-0.016	0.008
1.314	0.005	0.000	-0.033	0.025
1.376	-0.001	-0.006	-0.033	0.016
1.439	-0.001	0.000	-0.025	0.016
1.501	-0.001	-0.006	-0.033	-0.000
1.564	0.005	-0.006	-0.033	-0.000
1.626	-0.001	-0.012	-0.033	0.008
1.689	-0.001	-0.012	-0.025	0.016
1.751	-0.001	0.006	-0.033	0.016
1.814	-0.001	0.000	-0.033	0.016
1.876	-0.001	0.000	-0.025	-0.000
1.939	-0.007	0.006	-0.025	0.008
2.002	-0.001	0.000	-0.041	-0.000
2.064	-0.001	-0.006	-0.025	-0.000
2.127	-0.001	0.000	-0.025	0.008
2.189	-0.001	0.006	-0.016	0.016
2.252	-0.001	-0.006	-0.025	0.008
2.314	0.005	-0.012	-0.025	0.016
2.377	-0.007	-0.006	-0.025	0.016
2.439	0.005	-0.006	-0.025	0.008
2.502	0.005	0.006	-0.033	0.008
2.565	-0.013	-0.006	-0.025	0.025
2.627	0.005	0.000	-0.025	0.008
2.690	-0.001	0.006	-0.025	0.016
2.752	-0.001	0.000	-0.025	0.025
2.815	-0.001	0.000	-0.041	0.016
2.877	0.005	-0.006	-0.025	0.016
2.940	-0.001	0.006	-0.016	0.016
3.002	-0.007	0.000	-0.025	0.008
3.065	-0.001	0.000	-0.033	-0.000
3.127	-0.001	0.012	-0.025	-0.000
3.190	-0.007	-0.012	-0.025	0.008
3.253	0.005	0.000	-0.033	0.008
3.315	-0.001	0.000	-0.033	0.008
3.378	-0.001	0.006	-0.033	0.008
3.440	-0.001	0.006	-0.025	0.008
3.503	-0.001	0.000	-0.025	0.008
3.565	-0.001	0.006	-0.025	0.008
3.628	-0.001	0.000	-0.016	0.016
3.690	-0.001	0.000	-0.025	0.008
3.753	-0.007	0.000	-0.033	0.008
3.816	-0.001	-0.006	-0.025	0.016
3.878	-0.007	0.012	-0.016	-0.000
3.941	-0.001	0.000	-0.025	0.016
4.003	-0.001	0.000	-0.033	0.016
4.066	-0.001	0.000	-0.033	0.008
4.128	-0.001	0.000	-0.025	0.008
4.191	0.005	-0.006	-0.025	-0.000
4.253	-0.007	0.006	-0.025	-0.000
4.316	-0.007	-0.006	-0.033	0.016
4.378	0.005	-0.006	-0.033	0.016
4.441	-0.001	0.000	-0.041	0.008
4.504	-0.007	-0.006	-0.025	0.008
4.566	-0.001	0.000	-0.033	0.008
4.629	-0.001	0.000	-0.025	0.008
4.691	0.005	-0.006	-0.033	0.016
4.754	0.005	-0.006	-0.025	0.008
4.816	0.005	0.000	-0.033	0.016
4.879	0.005	0.000	-0.025	0.008
4.941	-0.001	-0.006	-0.033	0.008
5.004	0.005	0.000	-0.025	0.016
5.067	-0.001	0.006	-0.041	0.016
5.129	-0.001	0.000	-0.025	0.016
5.192	-0.001	0.000	-0.033	0.016
5.254	-0.001	-0.006	-0.033	0.008
5.317	0.005	0.000	-0.033	0.008
5.379	-0.001	0.000	-0.025	0.008
5.442	-0.001	0.000	-0.033	0.008
5.504	-0.001	-0.006	-0.016	0.008
5.567	-0.001	0.000	-0.033	0.016
5.629	-0.001	-0.006	-0.033	0.008
5.692	-0.001	0.006	-0.025	0.008
5.755	-0.001	-0.006	-0.025	0.016
5.817	-0.007	0.000	-0.016	0.008
5.880	-0.001	-0.012	-0.025	-0.000
5.942	-0.007	0.000	-0.025	0.008
6.005	0.005	-0.006	-0.016	0.008
6.067	-0.001	0.000	-0.033	0.025
6.130	-0.007	0.000	-0.025	0.016
6.192	0.005	0.000	-0.033	0.016
6.255	-0.001	-0.006	-0.025	0.008
6.318	-0.007	-0.006	-0.016	0.016
6.380	-0.001	0.000	-0.025	0.008
6.443	-0.001	0.000	-0.025	0.008
6.505	-0.001	0.000	-0.033	0.008
6.568	-0.007	-0.006	-0.041	0.016
6.630	-0.001	0.000	-0.025	0.008
6.693	-0.007	-0.006	-0.025	-0.000
6.755	0.005	0.006	-0.016	0.016
6.818	-0.001	0.000	-0.025	0.016
6.880	0.005	-0.006	-0.025	0.025
6.943	-0.001	-0.006	-0.016	-0.000
7.006	0.005	0.000	-0.033	0.008
7.068	-0.001	-0.012	-0.016	-0.000
7.131	-0.001	-0.006	-0.025	0.008
7.193	-0.001	-0.006	-0.033	0.008
7.256	-0.007	0.000	-0.025	0.016
7.318	0.005	0.000	-0.025	-0.000
7.381	-0.007	0.006	-0.025	0.008
7.443	-0.001	0.006	-0.033	0.008
7.506	0.005	0.000	-0.033	0.025
7.569	-0.001	0.000	-0.025	-0.000
7.631	-0.007	0.000	-0.016	-0.000
7.694	-0.001	0.000	-0.025	-0.000
7.756	-0.001	0.000	-0.033	0.008
7.819	-0.001	0.000	-0.025	-0.000
7.881	0.005	0.000	-0.025	0.016
7.944	0.005	0.006	-0.025	0.016
8.006	0.005	-0.012	-0.033	0.008
8.069	-0.001	0.000	-0.025	0.008
8.131	-0.001	0.000	-0.025	0.016
8.194	0.005	0.000	-0.025	0.008
8.257	-0.001	-0.006	-0.033	0.008
8.319	0.005	0.000	-0.025	0.008
8.382	-0.007	0.000	-0.025	0.016
8.444	0.005	0.000	-0.033	0.016
8.507	-0.001	0.000	-0.033	0.008
8.569	0.005	0.006	-0.025	-0.000
8.632	-0.007	-0.006	-0.033	0.016
8.694	-0.001	0.000	-0.016	0.008
8.757	-0.007	0.000	-0.025	0.016
8.820	-0.007	0.006	-0.025	0.016
8.882	-0.001	0.006	-0.033	0.025
8.945	-0.007	0.000	-0.025	0.008
9.007	-0.001	-0.006	-0.025	0.016
9.070	-0.001	0.000	-0.025	-0.000
9.132	-0.001	-0.006	-0.033	0.016
9.195	-0.001	-0.012	-0.025	0.008
9.257	0.005	0.000	-0.041	0.008
9.320	-0.001	0.000	-0.025	0.008
9.382	-0.001	-0.006	-0.033	0.016
9.445	-0.007	0.006	-0.025	0.016
9.508	-0.007	0.000	-0.025	-0.000
9.570	-0.007	0.000	-0.025	0.008
9.633	-0.007	0.000	-0.008	0.016
9.695	-0.001	-0.006	-0.025	0.008
9.758	-0.001	0.000	-0.033	0.008
9.820	-0.001	-0.006	-0.033	0.008
9.883	-0.001	0.000	-0.025	0.016
9.945	-0.007	0.000	-0.025	0.008
10.008	0.005	-0.006	-0.025	0.016
10.071	0.005	-0.006	-0.025	0.008
10.133	-0.001	0.000	-0.033	-0.000
10.196	-0.001	-0.006	-0.033	0.008
10.258	0.005	0.000	-0.016	0.016
10.321	-0.001	-0.006	-0.033	0.016
10.383	-0.001	-0.006	-0.025	-0.000
10.446	-0.007	0.000	-0.033	0.008
10.508	-0.001	0.000	-0.025	-0.000
10.571	-0.001	0.000	-0.025	0.016
10.633	-0.001	0.000	-0.025	-0.000
10.696	-0.001	-0.012	-0.025	0.008
10.759	-0.007	-0.006	-0.033	0.008
10.821	-0.001	-0.006	-0.033	0.016
10.884	-0.001	-0.012	-0.025	0.016
10.946	-0.001	0.006	-0.033	0.008
11.009	-0.007	-0.006	-0.025	0.008
11.071	-0.001	0.000	-0.025	0.008
11.134	-0.001	0.006	-0.025	0.016
11.196	-0.007	0.000	-0.025	0.025
11.259	0.005	0.000	-0.016	0.016
11.322	-0.007	0.000	-0.033	0.016
11.384	-0.001	-0.006	-0.025	0.016
11.447	-0.001	-0.006	-0.033	0.008
11.509	0.005	0.000	-0.033	0.016
11.572	-0.007	-0.006	-0.025	0.016
11.634	-0.007	-0.006	-0.025	0.016
11.697	-0.007	0.000	-0.033	0.008
11.759	0.005	-0.006	-0.025	0.008
11.822	-0.001	-0.012	-0.033	0.008
11.884	-0.013	0.000	-0.033	0.008
11.947	-0.001	-0.006	-0.033	0.016
12.010	-0.001	0.000	-0.016	0.016
12.072	-0.001	0.000	-0.025	-0.000
12.135	-0.007	0.012	-0.025	0.025
12.197	-0.001	0.000	-0.033	0.008
12.260	-0.001	-0.006	-0.016	0.008
12.322	-0.001	0.000	-0.033	-0.000
12.385	0.005	-0.006	-0.025	0.008
12.447	0.005	-0.006	-0.025	0.016
12.510	-0.007	0.000	-0.016	0.008
12.573	-0.007	-0.012	-0.025	0.016
12.635	-0.001	-0.006	-0.033	0.016
12.698	-0.007	-0.006	-0.016	0.008
12.760	0.012	-0.006	-0.033	0.016
12.823	-0.001	-0.006	-0.033	0.016
12.885	0.005	-0.006	-0.016	0.008
12.948	-0.001	0.000	-0.025	-0.000
13.010	-0.001	0.000	-0.025	0.008
13.073	-0.001	0.006	-0.033	0.016
13.135	0.005	0.000	-0.041	0.008
13.198	-0.007	-0.006	-0.025	0.008
13.261	0.005	0.006	-0.016	-0.000
13.323	0.005	0.000	-0.033	0.008
13.386	-0.007	0.000	-0.025	0.016
13.448	-0.001	0.006	-0.008	0.008
13.511	-0.001	-0.006	-0.016	-0.000
13.573	0.005	0.006	-0.033	0.008
13.636	-0.001	-0.006	-0.016	-0.000
13.698	-0.007	0.000	-0.033	0.008
13.761	-0.001	0.000	-0.016	0.008
13.824	-0.001	0.006	-0.025	0.016
13.886	0.005	-0.006	-0.025	0.008
13.949	-0.001	-0.006	-0.041	-0.000
14.011	-0.001	0.006	-0.033	0.008
14.074	-0.001	0.000	-0.025	0.008
14.136	-0.007	0.006	-0.025	0.008
14.199	-0.007	0.000	-0.025	0.025
14.261	-0.001	-0.012	-0.016	0.008
14.324	-0.001	-0.006	-0.033	0.016
14.386	-0.001	0.000	-0.025	0.008
14.449	-0.007	0.006	-0.025	0.008
14.512	-0.001	-0.006	-0.033	0.008
14.574	-0.001	0.000	-0.033	-0.000
14.637	-0.001	0.000	-0.033	0.016
14.699	-0.001	-0.012	-0.025	0.008
14.762	-0.013	-0.006	-0.025	0.016
14.824	-0.001	-0.006	-0.033	0.008
14.887	-0.001	0.006	-0.033	0.016
14.949	0.005	0.000	-0.025	0.008
15.012	-0.001	0.000	-0.033	0.016
15.075	-0.001	-0.006	-0.025	0.016
15.137	-0.001	-0.006	-0.025	0.008
15.200	-0.007	-0.006	-0.033	0.008
15.262	-0.001	-0.006	-0.025	0.008
15.325	-0.001	0.000	-0.033	0.008
15.387	-0.001	0.000	-0.025	-0.000
15.450	-0.001	-0.006	-0.033	-0.000
15.512	0.005	0.000	-0.041	0.016
15.575	-0.001	-0.006	-0.025	-0.000
15.637	-0.001	-0.012	-0.016	-0.000
15.700	0.005	-0.012	-0.033	0.016
15.763	-0.001	0.000	-0.025	0.008
15.825	0.005	-0.006	-0.033	-0.000
15.888	-0.001	0.006	-0.033	0.016
15.950	0.005	-0.006	-0.033	0.008
16.013	-0.007	0.000	-0.025	0.008
16.075	-0.007	0.000	-0.025	0.008
16.138	-0.007	0.000	-0.025	0.008
16.200	-0.001	0.006	-0.016	0.016
16.263	0.005	0.000	-0.016	-0.000
16.326	0.005	0.006	-0.033	0.016
16.388	-0.001	0.000	-0.025	0.016
16.451	0.005	0.000	-0.041	-0.000
16.513	-0.001	0.000	-0.025	0.008
16.576	-0.001	0.000	-0.033	0.008
16.638	-0.001	-0.006	-0.025	0.016
16.701	-0.001	-0.006	-0.033	0.008
16.763	0.005	0.000	-0.025	0.016
16.826	-0.007	0.000	-0.033	-0.000
16.888	-0.001	0.000	-0.033	-0.000
16.951	-0.007	0.000	-0.033	0.016
17.014	-0.001	-0.006	-0.025	0.016
17.076	-0.001	-0.006	-0.025	0.008
17.139	-0.001	-0.006	-0.025	0.016
17.201	0.005	0.006	-0.033	0.008
17.264	-0.001	0.000	-0.025	0.008
17.326	0.005	0.000	-0.033	0.016
17.389	-0.001	0.000	-0.016	-0.000
17.451	0.005	0.006	-0.041	0.025
17.514	-0.001	0.006	-0.016	0.016
17.577	0.005	0.000	-0.025	0.008
17.639	-0.007	-0.012	-0.033	0.016
17.702	-0.007	-0.012	-0.033	0.008
17.764	-0.001	0.000	-0.033	-0.000
17.827	-0.001	0.000	-0.041	0.008
17.889	-0.001	0.000	-0.033	-0.000
17.952	-0.001	-0.006	-0.025	0.016
18.014	-0.001	0.000	-0.016	0.008
18.077	-0.001	-0.006	-0.025	0.008
18.139	0.005	0.000	-0.016	0.016
18.202	-0.007	0.000	-0.033	-0.000
18.265	-0.001	-0.006	-0.025	0.016
18.327	-0.001	0.000	-0.033	0.016
18.390	-0.001	0.000	-0.025	0.008
18.452	0.005	-0.006	-0.033	0.008
18.515	-0.001	0.000	-0.025	0.008
18.577	-0.001	0.000	-0.033	0.008
18.640	-0.001	0.000	-0.016	0.016
18.702	-0.001	0.006	-0.033	0.008
18.765	-0.007	0.000	-0.025	0.008
18.828	0.005	0.000	-0.025	0.016
18.890	0.005	-0.006	-0.025	-0.000
18.953	-0.001	-0.006	-0.033	0.016
19.015	-0.007	0.000	-0.016	0.008
19.078	-0.001	0.000	-0.025	0.016
19.140	-0.007	-0.006	-0.033	-0.000
19.203	-0.001	0.006	-0.033	0.016
19.265	-0.001	0.000	-0.025	0.008
19.328	0.005	0.000	-0.025	0.008
19.390	-0.007	0.000	-0.025	0.008
19.453	-0.007	0.000	-0.033	0.016
19.516	0.005	0.000	-0.033	0.008
19.578	0.005	0.000	-0.033	0.016
19.641	0.005	-0.006	-0.025	0.016
19.703	0.005	0.000	-0.025	0.008
19.766	0.005	-0.006	-0.025	0.016
19.828	-0.001	0.000	-0.033	0.008
19.891	-0.001	0.000	-0.016	0.025
19.953	0.005	-0.012	-0.033	-0.008
20.016	-0.001	-0.006	-0.025	0.008
20.079	-0.001	0.000	-0.016	0.008
20.141	-0.007	-0.006	-0.025	0.025
20.204	-0.001	-0.006	-0.025	0.008
20.266	-0.001	0.000	-0.033	0.008
20.329	-0.001	0.006	-0.025	0.016
20.391	-0.007	-0.006	-0.025	0.016
20.454	0.005	0.000	-0.033	0.008
20.516	-0.007	0.000	-0.033	0.008
