Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A
0.000	0.019	-2.451	2.425	1.212
0.005	0.043	-2.396	2.416	1.220
0.009	0.067	-2.341	2.433	1.229
0.014	0.086	-2.292	2.433	1.229
0.018	0.116	-2.238	2.441	1.229
0.023	0.128	-2.189	2.433	1.220
0.027	0.153	-2.134	2.449	1.229
0.032	0.177	-2.091	2.465	1.245
0.036	0.195	-2.037	2.465	1.237
0.041	0.226	-1.982	2.465	1.245
0.045	0.238	-1.939	2.465	1.237
0.050	0.262	-1.884	2.474	1.253
0.055	0.281	-1.842	2.482	1.253
0.059	0.299	-1.781	2.498	1.253
0.064	0.329	-1.732	2.490	1.245
0.068	0.348	-1.690	2.506	1.261
0.073	0.366	-1.635	2.506	1.253
0.077	0.396	-1.586	2.506	1.270
0.082	0.414	-1.531	2.515	1.253
0.086	0.439	-1.476	2.515	1.261
0.091	0.457	-1.422	2.531	1.253
0.096	0.475	-1.379	2.523	1.270
0.100	0.494	-1.330	2.531	1.261
0.105	0.518	-1.269	2.539	1.270
0.109	0.536	-1.221	2.539	1.278
0.114	0.555	-1.178	2.556	1.286
0.118	0.567	-1.123	2.556	1.278
0.123	0.591	-1.069	2.564	1.270
0.127	0.609	-1.014	2.572	1.278
0.132	0.628	-0.965	2.564	1.294
0.136	0.658	-0.916	2.572	1.278
0.141	0.682	-0.874	2.580	1.294
0.146	0.701	-0.813	2.580	1.294
0.150	0.713	-0.764	2.605	1.294
0.155	0.743	-0.722	2.588	1.294
0.159	0.768	-0.655	2.597	1.311
0.164	0.786	-0.618	2.597	1.302
0.168	0.798	-0.557	2.605	1.294
0.173	0.822	-0.508	2.621	1.302
0.177	0.841	-0.454	2.613	1.311
0.182	0.859	-0.405	2.629	1.311
0.187	0.889	-0.350	2.621	1.302
0.191	0.902	-0.301	2.621	1.311
0.196	0.932	-0.259	2.629	1.311
0.200	0.950	-0.198	2.637	1.311
0.205	0.969	-0.149	2.637	1.311
0.209	0.981	-0.094	2.637	1.319
0.214	1.017	-0.052	2.654	1.311
0.218	1.035	0.003	2.654	1.327
0.223	1.060	0.058	2.654	1.319
0.227	1.072	0.113	2.662	1.319
