Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A
458.179	-0.000	-0.005	-0.025	0.008
458.241	-0.007	-0.005	-0.033	0.008
458.304	-0.000	0.007	-0.025	-0.008
458.366	-0.000	-0.011	-0.025	0.016
458.429	-0.007	-0.005	-0.025	0.008
458.491	-0.000	0.007	-0.033	0.016
458.554	-0.007	0.001	-0.025	0.016
458.617	-0.000	0.001	-0.016	0.008
458.679	-0.007	0.001	-0.033	0.016
458.742	-0.000	0.007	-0.033	0.016
458.804	-0.000	0.001	-0.033	0.008
458.867	0.006	0.001	-0.025	0.025
458.929	-0.007	0.001	-0.025	0.008
458.992	-0.000	-0.005	-0.016	0.008
459.054	-0.000	-0.005	-0.033	0.016
459.117	-0.007	-0.005	-0.033	0.008
459.180	-0.007	-0.005	-0.025	0.008
459.242	-0.000	0.001	-0.033	0.008
459.305	-0.000	0.013	-0.025	0.016
459.367	-0.000	0.007	-0.033	0.008
459.430	-0.007	-0.011	-0.033	0.008
459.492	-0.000	-0.005	-0.033	0.016
459.555	-0.000	-0.005	-0.025	0.016
459.617	-0.000	0.007	-0.016	-0.000
459.680	-0.013	0.001	-0.025	0.008
459.742	-0.007	-0.005	-0.025	0.025
459.805	-0.007	-0.005	-0.033	0.008
459.868	0.006	-0.005	-0.025	0.016
459.930	-0.000	0.007	-0.041	0.016
459.993	-0.007	0.001	-0.041	0.008
460.055	0.006	-0.005	-0.033	0.008
460.118	0.006	0.007	-0.033	0.016
460.180	-0.000	0.001	-0.033	0.016
460.243	0.006	-0.005	-0.008	0.025
460.305	-0.007	0.001	-0.025	0.008
460.368	-0.000	-0.011	-0.025	0.008
460.431	-0.000	0.007	-0.025	0.008
460.493	-0.000	0.001	-0.025	-0.000
460.556	-0.000	0.001	-0.016	0.008
460.618	-0.000	0.001	-0.033	0.008
460.681	-0.000	0.001	-0.041	0.016
460.743	-0.007	0.001	-0.033	0.008
460.806	-0.000	0.007	-0.016	0.016
460.868	0.006	0.001	-0.025	0.016
460.931	-0.007	0.001	-0.041	0.008
460.993	-0.000	-0.011	-0.025	0.008
461.056	-0.007	0.001	-0.033	-0.000
461.119	0.012	-0.005	-0.025	-0.000
461.181	-0.000	0.001	-0.033	-0.000
461.244	-0.000	0.001	-0.033	-0.000
461.306	0.006	0.007	-0.033	-0.000
461.369	-0.000	0.001	-0.025	0.016
461.431	-0.000	-0.011	-0.041	0.008
461.494	-0.007	-0.005	-0.025	0.016
461.556	0.006	0.001	-0.033	0.008
461.619	-0.000	-0.011	-0.033	0.008
461.682	-0.013	0.001	-0.033	0.008
461.744	-0.007	-0.005	-0.033	0.008
461.807	0.006	0.007	-0.041	0.016
461.869	-0.000	0.007	-0.033	0.016
461.932	-0.000	-0.005	-0.033	0.008
461.994	-0.000	0.001	-0.025	0.025
462.057	0.006	0.001	-0.033	0.008
462.119	-0.007	0.001	-0.025	0.008
462.182	-0.000	0.001	-0.033	0.025
462.244	-0.007	-0.011	-0.033	0.016
462.307	-0.000	-0.005	-0.025	0.016
462.370	-0.000	-0.011	-0.033	0.016
462.432	0.006	-0.011	-0.033	0.016
462.495	0.006	0.001	-0.033	0.016
462.557	-0.000	-0.005	-0.033	0.016
462.620	-0.000	-0.005	-0.025	0.016
462.682	-0.007	-0.005	-0.016	0.016
462.745	-0.007	0.001	-0.025	0.008
462.807	-0.000	0.001	-0.025	0.016
462.870	-0.000	0.001	-0.033	0.008
462.933	-0.000	0.007	-0.033	0.008
462.995	-0.000	0.001	-0.025	0.008
463.058	-0.000	-0.011	-0.016	0.025
463.120	0.006	-0.005	-0.025	0.008
463.183	-0.007	-0.005	-0.025	-0.000
463.245	-0.000	0.001	-0.041	0.008
463.308	0.012	0.007	-0.033	0.016
463.370	-0.000	0.001	-0.025	0.008
463.433	-0.000	-0.005	-0.033	0.008
463.495	-0.007	0.001	-0.025	0.016
463.558	-0.000	-0.005	-0.025	-0.000
463.621	-0.007	-0.005	-0.025	0.016
463.683	-0.000	0.007	-0.033	0.016
463.746	0.006	-0.005	-0.033	0.016
463.808	-0.000	0.001	-0.033	0.008
463.871	-0.000	0.001	-0.025	-0.000
463.933	-0.000	0.001	-0.025	0.008
463.996	-0.000	0.001	-0.033	0.008
464.058	-0.007	0.001	-0.033	0.016
464.121	-0.000	0.007	-0.025	0.016
464.184	-0.000	-0.005	-0.033	0.016
464.246	-0.007	0.001	-0.033	0.016
464.309	-0.000	-0.005	-0.033	0.008
464.371	-0.013	-0.005	-0.033	0.008
464.434	0.006	0.001	-0.025	-0.000
464.496	0.006	0.013	-0.025	0.016
464.559	-0.000	0.001	-0.016	0.008
464.621	0.006	0.001	-0.025	0.008
464.684	-0.000	0.001	-0.025	0.016
464.746	0.006	0.001	-0.025	0.016
464.809	-0.000	-0.005	-0.016	0.008
464.872	-0.007	0.001	-0.025	0.016
464.934	-0.000	0.001	-0.041	0.016
464.997	-0.000	0.001	-0.041	0.016
465.059	0.012	0.007	-0.025	-0.000
465.122	0.006	0.001	-0.025	0.016
465.184	-0.007	0.001	-0.016	0.016
465.247	0.006	0.007	-0.033	0.025
465.309	-0.000	0.007	-0.033	0.008
465.372	-0.000	0.001	-0.033	0.016
465.435	-0.007	-0.005	-0.016	-0.000
465.497	-0.000	0.001	-0.025	0.008
465.560	-0.000	0.001	-0.025	0.008
465.622	-0.000	0.001	-0.033	0.008
465.685	-0.000	0.007	-0.033	0.016
465.747	-0.000	0.007	-0.033	0.008
465.810	-0.000	0.013	-0.025	0.008
465.872	-0.000	0.001	-0.025	0.016
465.935	0.006	0.007	-0.033	0.025
465.997	-0.000	-0.005	-0.033	0.016
466.060	-0.000	0.001	-0.016	0.016
466.123	-0.007	0.001	-0.016	0.016
466.185	-0.007	-0.005	-0.025	0.016
466.248	-0.000	0.001	-0.025	0.025
466.310	-0.000	0.007	-0.033	0.016
466.373	-0.000	-0.005	-0.025	0.025
466.435	-0.000	-0.005	-0.033	0.008
466.498	0.006	0.001	-0.025	0.016
466.560	0.006	0.001	-0.033	0.008
466.623	0.006	0.001	-0.025	0.008
466.686	-0.000	0.001	-0.025	0.016
466.748	-0.000	-0.011	-0.033	0.016
466.811	-0.000	-0.005	-0.033	0.016
466.873	0.006	-0.005	-0.041	0.008
466.936	-0.013	-0.005	-0.025	0.008
466.998	0.006	-0.005	-0.025	0.008
467.061	-0.000	0.001	-0.025	0.016
467.123	-0.000	0.001	-0.025	-0.000
467.186	0.006	0.007	-0.033	0.016
467.248	-0.000	0.001	-0.033	0.016
467.311	-0.007	0.001	-0.033	0.008
467.374	0.006	0.001	-0.033	0.008
467.436	-0.000	0.007	-0.033	0.016
467.499	-0.000	0.007	-0.016	0.008
467.561	-0.000	0.001	-0.016	0.008
467.624	-0.000	0.007	-0.025	0.025
467.686	-0.000	0.001	-0.016	0.016
467.749	-0.007	0.001	-0.025	0.008
467.811	-0.000	0.001	-0.025	0.016
467.874	0.006	-0.005	-0.016	0.008
467.937	0.006	-0.011	-0.033	0.008
467.999	-0.000	-0.005	-0.025	0.016
468.062	-0.007	0.001	-0.033	0.016
468.124	-0.000	-0.005	-0.033	0.008
468.187	0.012	-0.005	-0.033	0.008
468.249	-0.000	0.001	-0.033	0.016
468.312	-0.007	-0.005	-0.025	-0.000
468.374	-0.000	0.007	-0.033	0.025
468.437	0.006	-0.005	-0.033	0.025
468.499	-0.000	-0.005	-0.033	0.016
468.562	0.006	-0.005	-0.033	0.016
468.625	-0.007	-0.005	-0.025	0.016
468.687	-0.000	0.001	-0.025	0.008
468.750	-0.000	0.001	-0.025	0.008
468.812	-0.000	-0.011	-0.025	0.025
468.875	0.006	-0.005	-0.016	0.008
468.937	-0.000	-0.011	-0.033	0.008
469.000	-0.000	0.001	-0.025	0.016
469.062	0.006	0.007	-0.041	0.008
469.125	-0.007	0.001	-0.016	0.016
469.188	-0.000	-0.011	-0.033	-0.000
469.250	-0.007	0.007	-0.025	0.016
469.313	0.012	0.001	-0.033	0.016
469.375	-0.000	0.001	-0.033	0.016
469.438	-0.007	-0.005	-0.033	0.025
469.500	-0.000	0.001	-0.033	0.016
469.563	-0.000	0.001	-0.033	0.008
469.625	0.006	-0.005	-0.033	0.016
469.688	-0.000	-0.005	-0.033	0.016
469.750	-0.007	-0.005	-0.033	-0.000
469.813	-0.000	0.001	-0.025	0.008
469.876	0.006	0.001	-0.033	0.025
469.938	-0.000	0.001	-0.025	0.016
470.001	-0.000	-0.005	-0.033	0.016
470.063	-0.007	-0.005	-0.025	-0.000
470.126	-0.000	0.001	-0.016	0.016
470.188	-0.000	0.001	-0.025	0.008
470.251	-0.000	-0.005	-0.025	0.008
470.313	-0.000	0.001	-0.041	0.025
